BGC_ID,num_compounds,compounds,num_activity,activity,any_known_activity
BGC0000216,1,dactylocycline A,1,antibacterial,TRUE
BGC0000217,1,daunorubicin,1,cytotoxic,TRUE
BGC0000218,1,doxorubicin,2,antibacterial;cytotoxic,TRUE
BGC0000219,1,elloramycin,1,cytotoxic,TRUE
BGC0000220,1,enterocin,1,antibacterial,TRUE
BGC0000221,1,erdacin,2,antioxidant;surfactant,TRUE
BGC0000222,1,FD-594,2,antibacterial;cytotoxic,TRUE
BGC0000223,5,rabelomycin;dehydrorabelomycin;fluostatin F;fluostatin G;fluostatin H,1,antibacterial,TRUE
BGC0000224,1,fredericamycin A,5,antibacterial;antifungal;antitumor;cytotoxic;inhibitor,TRUE
BGC0000225,1,frenolicin B,3,antibacterial;antifungal;cytotoxic,TRUE
BGC0000226,1,gilvocarcin V,3,antibacterial;antiviral;cytotoxic,TRUE
BGC0000227,1,granaticin,1,antibacterial,TRUE
BGC0000229,1,grincamycin,2,antibacterial;cytotoxic,TRUE
BGC0000230,1,griseorhodin A,4,antibacterial;antiviral;cytotoxic;inhibitor,TRUE
BGC0000231,2,griseusin A;griseusin B,2,antibacterial;cytotoxic,TRUE
BGC0000232,4,hatomarubigin A;hatomarubigin B;hatomarubigin C;hatomarubigin D,1,cytotoxic,TRUE
BGC0000233,1,hedamycin,2,antibacterial;cytotoxic,TRUE
BGC0000234,1,jadomycin,2,antibacterial;cytotoxic,TRUE
BGC0000235,1,kiamycin,1,cytotoxic,TRUE
BGC0000236,1,kinamycin,1,antibacterial,TRUE
BGC0000237,1,lactonamycin Z,2,antibacterial;cytotoxic,TRUE
BGC0000238,1,lactonamycin,1,antibacterial,TRUE
BGC0000239,1,landomycin A,2,antibacterial;cytotoxic,TRUE
BGC0000240,4,lomaiviticin A;lomaiviticin C;lomaiviticin D;lomaiviticin E,2,antibacterial;cytotoxic,TRUE
BGC0000241,4,lomaiviticin A;lomaiviticin C;lomaiviticin D;lomaiviticin E,3,DNA-interfering;antibacterial;cytotoxic,TRUE
BGC0000242,1,lysolipin I,1,antibacterial,TRUE
BGC0000243,5,nonactin;monactin;dinactin;trinactin;tetranactin,0,,FALSE
BGC0000244,5,nonactin;monactin;dinactin;trinactin;tetranactin,0,,FALSE
BGC0000245,1,medermycin,2,antibacterial;cytotoxic,TRUE
BGC0000247,1,mithramycin,2,antibacterial;cytotoxic,TRUE
BGC0000248,2,α naphtocyclinoic acid;fogacin,1,antibacterial,TRUE
BGC0000249,1,nogalamycin,2,antibacterial;cytotoxic,TRUE
BGC0000252,1,nonactin,4,antibacterial;antifungal;antiviral;cytotoxic,TRUE
BGC0000253,1,oviedomycin,1,cytotoxic,TRUE
BGC0000254,1,oxytetracycline,1,antibacterial,TRUE
BGC0000255,1,pederin,1,cytotoxic,TRUE
BGC0000256,1,pradimicin-A,0,,FALSE
BGC0000257,1,prodigiosin,3,antibacterial;antifungal;cytotoxic,TRUE
BGC0000258,1,prodigiosin,0,,FALSE
BGC0000259,1,prodigiosin,0,,FALSE
BGC0000260,1,prodigiosin,0,,FALSE
BGC0000261,1,R1128,1,cytotoxic,TRUE
BGC0000262,6,prejadomycin;rabelomycin;gaudimycin C;gaudimycin D;UWM6;gaudimycin A,2,antibacterial;cytotoxic,TRUE
BGC0000263,1,ravidomycin,3,antibacterial;antifungal;cytotoxic,TRUE
BGC0000264,2,resistomycin;resistoflavine,5,antibacterial;antifungal;antioxidant;antiviral;cytotoxic,TRUE
BGC0000265,1,rhodomycin,2,antibacterial;cytotoxic,TRUE
BGC0000266,1,collinomycin,1,antibacterial,TRUE
BGC0000267,1,saquayamycin Z,2,antibacterial;cytotoxic,TRUE
BGC0000268,2,Sch-47554;Sch-47555,1,antifungal,TRUE
BGC0000269,1,SF2575,2,antibacterial;cytotoxic,TRUE
BGC0000270,1,simocyclinone D8,2,antibacterial;cytotoxic,TRUE
BGC0000271,1,spore pigment,1,pigment,TRUE
BGC0000272,1,spore pigment,0,,FALSE
BGC0000273,1,steffimycin D,2,antibacterial;cytotoxic,TRUE
BGC0000274,2,tetarimycin A;tetarimycin B,1,antibacterial,TRUE
BGC0000275,1,tetracenomycin C,2,antibacterial;cytotoxic,TRUE
BGC0000277,1,urdamycin,2,antibacterial;cytotoxic,TRUE
BGC0000278,1,urdamycin,0,,FALSE
BGC0000279,1,xantholipin,3,antibacterial;antifungal;cytotoxic,TRUE
BGC0000280,1,"2,4-diacetylphloroglucinol",1,antifungal,TRUE
BGC0000281,1,"2,4-diacetylphloroglucinol",0,,FALSE
BGC0000282,1,alkylresorcinol,0,,FALSE
BGC0000283,1,cetoniacytone A,1,cytotoxic,TRUE
BGC0000284,1,phenolic lipids,1,cyst formation,TRUE
BGC0000285,3,"flaviolin;flaviolin rhamnoside;3,3'-diflaviolin",1,UV protective,TRUE
BGC0000286,1,viguiepinol,0,,FALSE
BGC0000287,1,L-2-amino-4-methoxy-trans-3-butenoic acid,2,antibacterial;cytotoxic,TRUE
BGC0000288,4,A-503083 A;A-503083 B;A-503083 E;A-503083 F,1,antibacterial,TRUE
BGC0000289,1,A40926,1,antibacterial,TRUE
BGC0000290,1,A-47934,1,antibacterial,TRUE
BGC0000291,1,A54145,1,antibacterial,TRUE
BGC0000292,1,acetylaranotin,0,,FALSE
BGC0000293,1,acetylaszonalenin,0,,FALSE
BGC0000294,1,acinetobactin,1,siderophore,TRUE
BGC0000295,1,acinetoferrin,1,siderophore,TRUE
BGC0000296,1,actinomycin D,3,antibacterial;antifungal;cytotoxic,TRUE
BGC0000297,2,aeruginoside 126B;aeruginoside 126A,1,inhibitor,TRUE
BGC0000298,3,aeruginosin 98-A;aeruginosin 98-B;aeruginosin 98-C,1,inhibitor,TRUE
BGC0000300,1,amychelin,1,siderophore,TRUE
BGC0000301,2,anabaenopeptin 908;anabaenopeptin 915,1,inhibitor,TRUE
BGC0000302,1,anabaenopeptin,1,inhibitor,TRUE
BGC0000303,1,anthramycin,3,antibacterial;antifungal;cytotoxic,TRUE
BGC0000304,1,apicidin,0,,FALSE
BGC0000305,1,arthrofactin A,1,surfactant,TRUE
BGC0000306,1,arylomycin,1,antibacterial,TRUE
BGC0000307,1,AbT1,0,,FALSE
BGC0000308,3,aureusimine A;aureusimine B;aureusimine C,1,virulence factor,TRUE
BGC0000309,1,bacillibactin,1,siderophore,TRUE
BGC0000310,1,bacitracin,1,antibacterial,TRUE
BGC0000311,1,balhimycin,1,antibacterial,TRUE
BGC0000312,1,bassianolide,0,,FALSE
BGC0000313,1,beauvericin,0,,FALSE
BGC0000314,1,bromoalterochromide A,2,antibacterial;cytotoxic,TRUE
BGC0000315,7,CDA1b;CDA2a;CDA2b;CDA3a;CDA3b;CDA4a;CDA4b,1,antibacterial,TRUE
BGC0000316,4,capreomycin IA;capreomycin IB;capreomycin IIA;capreomycin IIB,1,antibacterial,TRUE
BGC0000319,1,cephamycin C,2,antibacterial;inhibitor,TRUE
BGC0000320,1,cereulide,1,cytotoxic,TRUE
BGC0000321,1,chaetocin,0,,FALSE
BGC0000322,1,chloroeremomycin,0,,FALSE
BGC0000323,2,cichofactin A;cichofactin B,3,antibacterial;antifungal;surfactant,TRUE
BGC0000324,1,coelibactin,2,ionophore;siderophore,TRUE
BGC0000325,1,coelichelin,1,siderophore,TRUE
BGC0000326,1,isocomplestatin,2,antibacterial;antiviral,TRUE
BGC0000327,1,netropsin,1,antiviral,TRUE
BGC0000328,1,coronatine,1,phytotoxic,TRUE
BGC0000329,2,corpeptin A;corpeptin B,1,antibacterial,TRUE
BGC0000330,1,cupriachelin,2,antibacterial;siderophore,TRUE
BGC0000331,1,cyanopeptolin,0,,FALSE
BGC0000332,1,cyanopeptolin,0,,FALSE
BGC0000333,1,cyclomarin D,1,cytotoxic,TRUE
BGC0000334,1,cyclosporin,0,,FALSE
BGC0000335,4,cystomanamide A;cystomanamide B;cystomanamide C;cystomanamide D,0,,FALSE
BGC0000336,1,daptomycin,1,antibacterial,TRUE
BGC0000337,1,destruxin A,0,,FALSE
BGC0000339,1,echinomycin,3,antibacterial;antifungal;cytotoxic,TRUE
BGC0000340,5,echoside A;echoside B;echoside C;echoside D;echoside E,2,antibacterial;cytotoxic,TRUE
BGC0000341,1,enduracidin,1,antibacterial,TRUE
BGC0000342,1,enniatin,0,,FALSE
BGC0000343,1,enterobactin,1,siderophore,TRUE
BGC0000344,1,entolysin,1,swarming motility,TRUE
BGC0000345,1,eponemycin,3,antiprotozoal;cytotoxic;inhibitor,TRUE
BGC0000346,1,epoxomicin,2,cytotoxic;inhibitor,TRUE
BGC0000347,1,equibactin,1,siderophore,TRUE
BGC0000348,1,ergovaline,0,,FALSE
BGC0000349,1,erythrochelin,2,antibacterial;siderophore,TRUE
BGC0000350,1,ET-743,1,cytotoxic,TRUE
BGC0000351,1,exochelin,1,siderophore,TRUE
BGC0000352,1,fimsbactin A,1,siderophore,TRUE
BGC0000353,1,tacrolimus,1,immunosuppressive,TRUE
BGC0000354,4,friulimicin A;friulimicin B;friulimicin C;friulimicin D,2,antibacterial;surfactant,TRUE
BGC0000355,3,fumiquinazoline A;fumiquinazoline C;fumiquinazoline D,1,cytotoxic,TRUE
BGC0000356,7,verruculogen;fumitremorgin B;fumitremorgin c;tryprostatin A;tryprostatin B;demethoxyfumitremorgin C;brevianamide F,1,inhibitor,TRUE
BGC0000357,10,cyclo-(D-Phe-L-Phe-D-Val-L-Val);cyclo-(D-Tyr-L-Phe-D-Val-L-Val);cyclo-(D-Tyr-L-Trp-D-Val-L-Val);cyclo-(D-Phe-L-Trp-D-Val-L-Val);cyclo-(D-Phe-L-Phe-D-Val-L-Ile);cyclo-(D-Phe-L-Phe-D-Ile-L-Val);cyclo-(D-Tyr-L-Trp-D-Val-L-Ile);cyclo-(D-Tyr-L-Trp-D-Ile-L-Val);cyclo-(D-Tyr-L-Phe-D-Val-L-Ile);cyclo-(D-Tyr-L-Phe-D-Ile-L-Val),1,inhibitor,TRUE
BGC0000359,3,fuscachelin A;fuscachelin B;fuscachelin C,1,siderophore,TRUE
BGC0000360,1,GE81112,1,antibacterial,TRUE
BGC0000362,1,glycopeptidolipid,1,other,TRUE
BGC0000363,1,glycopeptidolipid,0,,FALSE
BGC0000364,1,glycopeptidolipid,0,,FALSE
BGC0000365,1,glycopeptidolipid,0,,FALSE
BGC0000366,2,gobichelin A;gobichelin B,1,siderophore,TRUE
BGC0000367,1,gramicidin,1,antibacterial,TRUE
BGC0000368,1,griseobactin,1,siderophore,TRUE
BGC0000369,1,hassallidin C,1,antifungal,TRUE
BGC0000371,2,heterobactin A;heterobactin S2,1,siderophore,TRUE
BGC0000372,3,hexadehydroastechrome;terezine-D;astechrome,2,cytotoxic;siderophore,TRUE
BGC0000373,1,holomycin,4,antibacterial;antifungal;antiviral;cytotoxic,TRUE
BGC0000374,7,hormaomycin;hormaomycin A1;hormaomycin A2;hormaomycin A3;hormaomycin A4;hormaomycin A5;hormaomycin A6,3,antibacterial;antimalarial;signalling,TRUE
BGC0000375,1,indigoidine,1,antibacterial,TRUE
BGC0000376,2,JBIR-34;JBIR-35,1,other,TRUE
BGC0000377,1,koranimine,0,,FALSE
BGC0000378,1,kutzneride 2,1,antifungal,TRUE
BGC0000379,1,glycinocin A,1,antibacterial,TRUE
BGC0000380,1,leupyrrin,1,antifungal,TRUE
BGC0000381,1,lichenysin,2,antibacterial;cytotoxic,TRUE
BGC0000382,1,lipstatin,1,inhibitor,TRUE
BGC0000383,3,luminmycin A;glidobactin A;cepafungin,1,cytotoxic,TRUE
BGC0000384,1,lyngbyatoxin,4,cytotoxic;irritant;tumor promoter;vesicant,TRUE
BGC0000385,1,lysobactin,1,antibacterial,TRUE
BGC0000386,4,malleobactin A;malleobactin B;malleobactin C;malleobactin D,1,siderophore,TRUE
BGC0000387,1,mangotoxin,1,phytotoxic,TRUE
BGC0000388,1,mannopeptimycin,1,antibacterial,TRUE
BGC0000391,2,methylpendolmycin;pendolmycin,3,antibacterial;cytotoxic;signalling,TRUE
BGC0000392,1,mirubactin,1,siderophore,TRUE
BGC0000393,1,myxoprincomide-c506,1,predation,TRUE
BGC0000394,1,naphthyridinomycin,2,antibacterial;cytotoxic,TRUE
BGC0000395,1,nocardicin A,1,antibacterial,TRUE
BGC0000396,1,nodularin,1,phytotoxic,TRUE
BGC0000397,1,nostocyclopeptide A2,1,cytotoxic,TRUE
BGC0000398,1,orfamide B,3,antifungal;insecticidal;surfactant,TRUE
BGC0000399,2,orfamide A;orfamide C,3,antialgal;antifungal;surfactant,TRUE
BGC0000400,1,paenibacterin,2,antibacterial;surfactant,TRUE
BGC0000401,1,paenibactin,1,siderophore,TRUE
BGC0000402,3,paenilarvin A;paenilarvin B;paenilarvin C,0,,FALSE
BGC0000403,1,pelgipeptin,2,antibacterial;antifungal,TRUE
BGC0000404,1,penicillin,0,,FALSE
